,아이디,댓글 내용
0,  꽃피는봄이오면,이게 시즌 동안 유일한 로나의 사이다 장면이라는 것이 마음이 아프다 진짜 이게 시작이였으면..
1,  김현우,다만 것을 발견하게 되었습니다 것 이라며 것 같다
2,  H,이었으면
3,  정승필,999 못참지
4,  뭐?!못생겼다고?!허!참나 어이가 없어서,야씨 어머니가 돈 많이 벌으랬지 남 신분 뺏어서 돈 벌으라고 했냐 어린 단태는 개불쌍하네주단태 때문에 혈압 오르신 분들 그날들 커튼콜&럭키드로우 영상 보고 오시면 혈압 싹 내려갈겁니다
5,  이윤주,ㅇㅈ 어린 단태는 불쌍하지만 지금 단태는 하나도 안불쌍함 찐단태 아버지 죽인거는 그래도 이유가 있는데 나머지 사람들한테는 왜 피해주냐 진짜...
6,  Baek Sinsa,민준이 잘못 커버렸네 우짜노...
7,  worldclass kimhyeonsik, @Baek Sinsa  부모없이 컸잖아 ㅋㅋㅋㅋㅋㅋ고아 ㅋㅋㅋㅋ
8,  전 이만갑오개혁,ㅇㅈ 근데ㅠㅠㅠ 어린 단탱이 서사 속상함.. 그치만 이건 아니지ㅠㅠㅠ
9,  LANNI K,여기서 홍보를 하네(?)
10,  크림,아기단태
11,  고앵고앵,그날들 커튼콜 ㄹㅇ 과몰이방지 영상.. 단태들 같이 나와서 춤추는데 너무 신남
12,  너 내 열한번째 여친이 돼라,자기 엄마가 죽은 곳이라서 저 땅에 집착하고 피에 트라우마 생겼구나. 돈 많이 벌어라는 유언이 저런 뜻은 아니었을 텐데
13,  구름이누나,자기 엄마가 죽는 순간까지 나가지 않고 지키려던 땅이어서 그랬을지도요
14,  미뗑,아 세상에 닉과 프사...
15,  LANNI K,저 저쪽 자코모 갔었음 헷
16,  뉸뉴,자세히보기 누르지마세요오 대단한데용여기까지오면 대단끝
17,  유쾌한학생, @뉸뉴  이건 뭐 감동도 재미도 없는
18,  뤱땐쑤노뤠로쌍대방위 기쒄을 제압훼, @제가 예쁘면구독해주세요  못생겼다고
19,  지랄을 해요✔, @제가 예쁘면구독해주세요   무슨 빨간마스크도 아니고 왜 물어봐
20,  큥,프사 닉ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
21,  체리,아 열다리 프사...
22,  LSB WIN,단태 맞는거보고 일주일 스트레스 날아감 ㅋㅋㅋ
23,  Hakuna Matata,ㄹㅇ 월화요병 날아가서 좋음
24,  재윤의일상채널,ㅋㅋ
25,  박지혜,그때 너무 시원했다
26,  욥피,너두? 야나듘ㅋㅋㅋㅋㅋㅋ
27,  최지우,야나두
28,  천서진,저도여 ㅋㅋㅋ
29,  유튜브하음군🍈,아 ㄹㅇ
30,  준넙,닉네임은 샌박이스포츠 응원인데 펜트하우스 댓이 다반샄ㅋㅋ
31,  원황재, @준넙  샌드박스 이스포츠는 옛이름이고 리브 샌드박스가 맞는거 아닌가요…? 제가 잘못알고 있는건가….
32,  서지민,ㄹㅇㅋㅋ
33,  Hakuna Matata,근데 배로나는 진짜 참을만큼 참았는데 멘탈도 개쎄져서 존나 좋음
34,  임민수,"""싸울수록 멘탈이 강해지고 아무리강해도 부모가 잘못하면 아이도 나빠진다:"
35,  코난,나만 민혁이 감정선 이해안가나… 갑자기 철든거임..? 왜 옆에와서 치킨먹고 난리임…. 사과했다고 해도 장면을 안보여줘서 왜 저러는지 이해가 안감…
36,  휙!,제니 아빠 출소하고 겁 먹어서 그런듯
37,  Jihoon Huh,위선적인거지. 철든게 아니라 쫄아서 착한척하는거.
38,  도리,긍까; 민혁이 걍 사라졌으면 좋겠음
39,  구독 해주세요 제발 ㅠ 나혜밍,펜하2 끝나서 헤라키즈클럽편이었나 그거 보면 민혁이 철든다 이런말 나와있음.. 착한척도 아니고 겁은 조금 먹은거같긴한데 윤희 장례식장에서 상아가 못된말하니까 엄마한테 실망이야 라고 한것도.. 보면 ㄹㅇ 철든거같긴함
40,  휙!, @구독 해주세요 제발 ㅠ 나혜밍  윤희 장례식장에서 솔직히 민혁이 보고 좀 놀랐음... 진짜 철도 좀 들었고 약간 제니 아빠 때문도 있는 듯 걍 반반??
41,  전 이만갑오개혁,근데 민혁이 약간 갱생각 잡힘 저번에 고상아가 막 말 하는거 되게 한심해했고 오윤희 장례식 때도 고상아가 막말하는거에 질린듯한? 모습 표현 됐음 저렇게 제니로나랑 같이 놀다가 사과하는거 나오겠지
42,  펜트바라기,그니까여....
43,  김말랑,사과나 하고 쳐 붙던지
44,  Fifukaka,펜트하우스 이런게 한두개냐 그냥 보는거지 ㅋㅋㅋ
45,  의야윹,치킨먹는 거보고 어이없어섴ㅋㅋㅋㅋㅋ갑자기 같이처먹고있네 ㅅㅂ..
46,  ᄋᄋ,천서진 처음에 은별이가 부른 줄 알고 입꼬리 올라갔다가 배로나인 거 알고 정색하는 거 킬포 ㅋㅋㅋ
47,  ᄒᄌ,인정여 ㅋㅋ
48,  OI I,인정!!!!!!!
49,  뱁새,킹정 ㅋㅋ
50,  박기원,인정합니다.!!!!!!!!!
51,  메롱,수련이는 단태에 집중적으로 후벼파고로나는 은별이를 집중적으로 후벼파구
52,  김재연,ㅎㅎ
53,  연어의VIOG,코딱지야 머ㅓ야
54,  산타, @연어의VIOG  ㄹㅇㅋㅋ
55,  코난,오윤희는 천서진 담당 마크였는데…..ㅠ
56,  김마멜,귀지 후려파는 수련씨..
57,  자숙하는 쀼닝 연콩❦(소통쉼),"+로나=은별,서진 집중적으로 후벼팜"
58,  크림,후벼후벼
59,  은빈,+천서진
60,  크림, @은빈  천서진 후벼후벼
61,  Hakuna Matata,4:40 봤지? 네가 아무리 막아도 결국 내 실력으로 올라가게 되어있어 <-야망 있는 표정 존좋
62,  smilelucky00,개좋은데 이때 로나 개이쁨..
63,  도아,ㅇㅈ 완전 얼굴로 다 표현되있다
64,  서별이star,배로나: 하핫 오디션 무대 신청 되였당 헤헿
65,  이찬우,주석훈 : 내 여자와 내 어머니가 흑화되었습니다.
66,  아누,ㅋㅋㅋㅋㅋㅋㅋ
67,  백소연,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
68,  난 슬플 때 비트를 먹어,주석훈 : 흑하된 내 여자랑 헤어지게 되었습니다.
69,  아누, @난 슬플 때 비트를 먹어  너무 슬프잖아요...ㅋㅋ
70,  미나찡♡,ㅋㅋㅋㅋㅋㅋ
71,  평행우주,ㅁㅊㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
72,  세하짹,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
73,  마루입니당,주석훈: 그래서 나도 흑화를 했어요
74,  이현제, @마루입니당  다같이 흑★화
75,  마루입니당, @이현제  ㅋㅋㅋㅋㅋ
76,  luminous38,"""악마는 악마가 상대해야죠""맨정신으로 선 지켜가면서 복수하면 절대 못이김특히 펜하는 더욱 더"
77,  De bruyne,악은 악으로 처단한다
78,  다 꺼저 entp 몰라?,특히 펜하는 더욱 더...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 역쉬 펜하는 특별해^^
79,  민꾸의 미니한 일상,뻔뻔하지 않고서는 아줌마를 이길수가 없더라구요~?
80,  서별이star,"심수련: ""악마는 악마가 상대 해야죠""악마: ""ㄸ..ㄸ.."""
81,  나이라,하은별이 탑이면 배로나는 세계적인 스타셀럽급 아님?
82,  이정훈,애초에 탑이 대회무대에서 고음실수 실수가 아니라 실력인것같기도 하고 오디션마다 매번 실수하고 감정조절못하고 역시 하은별이 탑인듯
83,  나이라, @이정훈  그렇게 따지면 로나는 역시 세계적인 셀럽이였어....ㄷ
84,  ᗩᖇᗩᑎᗩ._., @나이라  따지면…
85,  나이라, @ᗩᖇᗩᑎᗩ._.  어머..오타 수정해써여 지적감사
86,  ᗩᖇᗩᑎᗩ._., @나이라  헤헿
87,  전 이만갑오개혁,ㄱㄴㄲ ㅋㄱㅋㄱㅋㄱㅅㅋㅋㅋㅋ 시즌2에서 이미 최연소로 엘리자베스 상도 받았잖음
88,  나이라, @전 이만갑오개혁  ㄹㅇ 그러네 ㅋㅋ
89,  전 이만갑오개혁, @나이라  우리 메로나.. 제발 행복하게 해주세여
90,  나이라, @전 이만갑오개혁  그니까여 메로나 지금 다 녹고있자나여.....ㅜ
91,  이구역보스,주단태 더 처맞아야 하는데 주석훈이 구해서 개빡침
92,  💜아미💜,ㄹㅇ ㅇㅈ
93,  은주김,완전 ㅇㅈ
94,  크림,ㅇㅈㅇㅈㅇㅈ 학대한 아빠를 왜 구해주는지...🤦‍♀️
95,  엉ᄒ영기엄마,0:23 이부분에서 나만 로나 ㅈㄴ 이쁘냐ㅜㅜ머리 맨날 풀지만 말고 묶어줘ㅜㅜ
96,  쨍알 윤 .ᐟ,전 1:12하핫
97,  크림, @쨍알 윤 .ᐟ  치킨 냠냠🍗
98,  요리보고 조리봐도 알수없는 윤희,로나가 윤희를 이어서 복수하는구나
99,  솔이_Emelia,썸넬이랑 닉넴이랑 같이 읽어서 뻘하게 터짐 ㅋㅋㅋㅋㄹㅋ
100,  크림,유니유니
101,  주단태`St,윤희 윤희
102,  서별이star,ㅋㅋㅌㅋ  프로필 이링 이름 뭐야 ㅋㅋㅋㅋㅋㅋㅋ
103,  Hakuna Matata,5:00 아무것도 모른다는 듯 뻔뻔하고 천연덕스러운 표정으로 천서진 엿먹이는거 개좋아
104,  유진 백,로나야 이제 당한거 전부 되갚아주자악마는 악마가 상대해야되니까
105,  오미나,인정이욤^_^
106,  서별이star,그러면 인정은 인정이지 !!!
107,  💗애틋찐사랑록련커플바라기💗,와오 봤던걸 또 봐도 속시원해!!개사이닷!!그동안 주단태 돼게 제수없었는데 역쉬 걸 크러쉬 수련언니짱👍👍👍❤❤근데 그와중에 주단태는 마치 오뚜기처럼 튕겨 나가냐 졸라 웃김ㅋㅋ
108,  블랙아,와우 편집실력이...
109,  네 진은 잘생겼습니다,나 단태 뚜까 맞는 거 보고 10년 묵은 체중 날아가고 로나 사이다 보고 일주일치 스트레스 날아감ㅋ
110,  갱은,어케 10년치 몸무게가 날아가셨대요.. 부럽습니다
111,  네 진은 잘생겼습니다, @갱은  ㅋㅋㅋㅋ
112,  권채은, @네 진은 잘생겼습니다  그…윗 분이 센스있게 오타 지적하신 것 같은데요…?체중이 아니라 체증입니다!!
113,  네 진은 잘생겼습니다, @권채은  체중이라고 적은거 맞는데요
114,  이수진, @네 진은 잘생겼습니다  체중은 몸의 무게이고 체증은 꽉 막힌 무언가를 뜻하는 말이에요 그니까 체증이 맞는 말입니다
115,  네 진은 잘생겼습니다, @이수진  10년치 몸무게 날아간 것 같다는 뜻으로 친 드립 맞습니다
116,  이수진, @네 진은 잘생겼습니다  아 그러니까 10년묵은 체중이 드립이라는거죠?
117,  네 진은 잘생겼습니다, @이수진  넹
118,  로장,아이고... 대댓 참사
119,  Hakuna Matata,6:43 천서진 팔 꺽는거 ㄹㅇ 쾌감 쩔어
120,  강동김돈돈,클라크 리를 속이는 천서진을 속이는 하은별을 복수하는 로나를 연기하는 성악가님 대단합니다!
121,  롬쌔,로나가 흑화를 이제야 했다는게 제일 놀라움... 로나 너무 착한거아니냐
122,  두둥실애정＼(^o^)／,ㅎr.. 얼마나 로나한테 그랬으면 로나가 이렇게까지 하겠냐고요ㅠ
123,  이성서,단태형 참교육 할 때는 속시원한데 또 죽으면 시원섭섭하면서 아쉬울듯
124,  배배롬,그니까 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
125,  이준혁,그래도 즐거웠다 주단태 어디까지나 시청자 입장이지만
126,  김지아,원래 그게 악당의 묘미 아닙니까ㅋㅋ
127,  배배롬, @김지아  그렇죠ㅋ
128,  캐니캐니,다른 드라마에서 이지아 김현수 모녀 관계로 나와도 괜찮을 듯
129,  그분을위해!,ㅇㅈ
130,  오마이네버버♥,제발 그랬으면..!
131,  은결🌸,진짜 너무 ㅇㅈ 내가 좋아하는 사람들끼리 만난다니 ㅜㅜ 거기다 로건리가 이지아의 남편이자 배로나의 아빠인거야…. 최고다🥰
132,  음, @은결🌸  로건리가 왜 거기서나옴~그말 할꺼면 딴댓으로 가세요~
133,  은결🌸, @음  그냥 제 생각은 말한건데 왜 님이 그럼 ㅋㅋㅋㅋ
134,  음, @은결🌸  이 댓글분이 이지아 김현수만 말했지 ㅋㅋ 이분이 로건리를 말했음?ㅋㅋ 생각을 말하려면 너 혼자그러던가 아 ㅋㅋ
135,  은결🌸, @음  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니 그냥 내 생각을 자유롭게 남이 보든 말든 쓰겠다는데 니가 뭔상관인데 ㅋㅋㅋ 괜히 나대는 스타일 ㅉㅉ 으휴… 남한테 시비걸 시간에 니 면상이나 잘 챙기세요~~
136,  •_*\, @은결🌸  ㄹㅇ 저분 왜저럼 그렇게 생각하실수있는데
137,  음, @은결🌸  ㅋㅋ 갑자기 로건리 말하면 대화에 흐름이 안맞잖아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 웃기네
