,아이디,댓글 내용
0,  루나,심애교로 나타났을때 왜이리 이쁜지....원래도 이뻤지만 이번 회 심애교(애교 단발+수련 화장)일때랑 앞머리깠을때 너무너무 이뻤음 여신 이야..
1,  복나미,나애교...(드립이면 ㅈㅅ)
2,  박지윤,@UCu1i3krODqUDqPiCn7kxr6Q  심수련이 나애교처럼 해서 일부러 심애교라고 부르시는 것 같ㅇ아여
3,  복나미, @박지윤 님이 @한분 ㄴㄱ..;
4,  박지윤, @복나미   ㅇ엥 그러게요 닉넴 이상하게 됬네 쨋든 저 분 댓글 심애교는 드립인거 같아요
5,  루나, @박지윤  네 드립이에요ㅋㅋㅋㅋㅎㅎ
6,  김복순,나이?
7,  예솔 따듯, @복나미  드립 일껄요?...
8,  다섯,"오윤희가 나애교처럼 할말 다 하고 살라고 하니까 진짜 문신한거 너무,,, 좋아"
9,  김솔빵,심수련 아닌가...
10,  강경잇프제, @김솔빵  오윤희가 문신했다는게 아니고 나애교처럼 할말 다 하고 살라 까지 얘기에요!..제대로 말한거 맞음요
11,  픂퓨, @김솔빵  문맥 파악좀여
12,  김솔빵, @강경잇프제  아!그렇군요!
13,  김솔빵, @픂퓨  근데문맥이뭐죠??
14,  dkssud, @김솔빵  잼민아 초록창에 검색해봐
15,  김솔빵, @dkssud  저 잼민이 아닌데 왜 시비거시는 거죠...
16,  낑깡, @김솔빵  문장의 맥략
17,  주내씨,ㅋㅋㅋㅋㅋ왜들 그러세요... 충분히 그렇게도 오해하실 수 있겠구만ㅠㅠㅠ
18,  댓글용, @김솔빵  담부터는 핑프 자제해주세용
19,  헤라,마리수련 조합기대 된다.그리고윤희가  나애교처럼  살라고 하는거   감동 받았어ㅠㅠㅠ
20,  염소,ㄹㅇ
21,  우왑,마리윤희도 좋았는데 마리수련도 케미 잘맞는다
22,  트롯은총-선빈,강마리 캐릭터가 자식을 위해서라면 뭐든지 하는인물이라고 나왔듯이 강마리는 제니 학폭사건때도 오윤희 아니였음 자기딸이 평생 얘들한테 시달리고 살았을꺼라 생각했을꺼고 제니 힘들때도 유일하게 로나가 제니한테 힘이되어주었고..자기 소중한 딸 목숨 살려준거나 달름없으니 지금와서 그 보답을하는것같아요
23,  핑크곰돌이,마저욥맞아욥
24,  *세이쓰,정말 죄송한데 처음에 마라로 봤다ㅠ
25,  로건박, @*세이쓰  어머 나만그런줄
26,  이가은,그럼 윤희 살아나면 윤마수가?
27,  윤겹살,김마리떡볶이
28,  이가은,좋아요 1개 감사합니다
29,  _블랙이좌_,그르게그르게
30,  김춘자,마희도 좋았는데 마술도 너무 좋은 케미..♡
31,  명성영,ㅣ.
32,  뮤렌,심수련×강마리 뭔가 안어울리면서 어울리는? 새로운 조합이긴하다ㅋㅋㅋㅋㅋ
33,  박성현,심강동맹체결
34,  남중식,강심장인 두명
35,  펜트하우스에도른자,심장이 무한인강마리×심수련가즈아ㅏㅏ자...주단태 5회안에 끝난다는거 무죄 쾅 쾅!
36,  cooky cooky,썸네일심수련×강마ㅋㅋㅋㅋ
37,  펜트하우스에도른자, @cooky cooky  ...내가 먼저 봤어!
38,  행복한 불불.,ㅇㅈㅇㅈ
39,  엘사,생각지도 못한 조합 어울릴거라는 생각도 못한 조합이라고 생각했는데 이 조합도 나쁘지 않네요
40,  비누아트,어울리는 데 시즌1에 잠깐 만나고 지금까지 만나지 않았던 조합 :로건×하윤철
41,  펜트하우스에도른자, @비누아트  하로 커플
42,  구독하면 부모님 만수무강하심,만수무강.
43,  DarkSlug,드라마 역사상 최초의 엔딩이 나오겠군요해피엔딩 X새드엔딩 X파멸엔딩 O
44,  Zihling Bag,파멸최고
45,  윤우병, @Zihling Bag  파멸조아
46,  Zihling Bag, @윤우병  존나조아
47,  고딕, @Zihling Bag  시발 존나 좋아
48,  고담희,"파멸+석로해피제발석로아니못해도로나는행복하자제발,ㅠㅠㅠㅠㅠㅠㅠㅠ"
49,  디아,"수련: 악마는, 악마가 상대해야죠. 지옥이 죽어서만 가는 곳은 아니니까.이런걸 보고 우리는 ""간-지""라고 한다."
50,  권현자,♡♡♡♡♡
51,  권현자,이런댓사랑합니다!
52,  윤가원,"이 대사 듣고 무릎을 탁 친게, 지금 짭단태는 죽는 것보다 산 채 몰락하는 게 더 싫을 것 같음. 말 그대로 지옥이 죽어서만 가는 곳은 아님..."
53,  민트초코김치볶음밥,저거 나애교가 했던 대사같은데
54,  2빙빙,ㅋㅋㅋㅋㅋ 맞습니다!!
55,  토끼상에 눈 뒤집히는 얼빠,애교: 미친 개는 미친 개가 상대해야 하니까수련: 악마는 악마가 상대해야죠
56,  사탄,수련간지
57,  유그르트, @민트초코김치볶음밥  닉넴 좀 밥맛 떨어진다ㅏㅏ
58,  김모씨,5:10 ㄷㄷ
59,  kevin0607,‘간지’는 연도를 나타낼때 쓰는 말이다
60,  ᄋᄋ,13:33 주단태 말할때 옆에서 율동같은거 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅌ
61,  벅빅,하박사 병약커엽
62,  Passion,ㅋㅋ 배울만큼 배운 사람들이 저렴한 몸동작 하니 더 웃김
63,  나름빅히트에진심인할매, @Passion  ㄹㅇ 그거 노린듯
64,  Peach,아이돌이냐고ㅋㅋ
65,  저 할말이 있는데요,단 이십분! ✌️ㅇㅅㅇ✌️
66,  최정원, @Peach  치어리딩ㅋㅋㅋㅋ
67,  김잡덕, @벅빅  병약 ㄴㄴ 병신커엽 ㅋㅋㅋㅋ
68,  윤서2,나만 아빠들이 저렇게 여자들이랑 같이 신나게즐기는거 나만 불쾌함?? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ질투가 아니라…실망할 것 같은데…ㅜㅜ…
