,아이디,댓글 내용
0,  엠뚜루마뚜루 : MBC 공식 종합 채널,✨빅마마 귀호강 콘서트💞00:25 Break Away04:44 거부07:52 하루만 더11:53 ⭐보너스⭐거미가 줄을 타고 올라갑니다
1,  kim,"They look extra pretty in this stage, the stylist and makeup looks so good"
2,  나야나,노래는 네분 다 말할거없이 잘하시고..지영언니 진짜 한국소울이 아닌거같네욬ㅋㅋㅋㅋㅋㅋ
3,  바기,6:50흑인소울?
4,  어느봄,너무좋아 개인곡좀!!!!!!!
5,  어느봄,목소리 겁나섹쉬 개섹쉬 한국사람 아닌듯?
6,  어느봄,11:13 섹쉬 목소리가 어쩜 저리... 섹쉬
7,  어느봄,10:49 엄마야 섹쉬
8,  팽코치,조선소울..
9,  글라스킴,빅마마 매 앨범마다 네분 각자 솔로곡 수록 되있습니다 지영누나 솔로곡 듣고 싶으시면 앨범 다 찾아보시면 들으실수 있을거에요 빅마마 앨범은 단 한곡 버릴거 없답니다💯💯💯
10,  sue,대학교 개강하지 말아봐 제발 교수님들 활동하셔야 해
11,  ᄋᄂᄋ,아직 개강까지 한 달 조금 더 남았으니깐..!
12,  잉ᄋᄋ잉잉잉,이분들 진짜 교수님이세요?
13,  보라해, @잉ᄋᄋ잉잉잉  네 네분 다 다른대학교 교수님들이세요~
14,  11100qkr, @잉ᄋᄋ잉잉잉  실용음악 학과 교수죠  김연우님도 교수로 제자들도 많이 두시고 레전드 가수 중  교수직 계신분들 꾀 계심
15,  의형제,영현누님 총알피하기 창법 나오는 순간 끝남
16,  BY A, @의형제  ㅋㅋㅋㅋ 거의 매트릭스 수준
17,  mark7,오히려 좋아??? 방학기간 동안을 꾸준히 활동기간으로 잡으면 계속 볼 수 있다???
18,  김지현, @잉ᄋᄋ잉잉잉  심지어 신연아님은 학과장이심.
19,  X X,"전,현직 분들입니다."
20,  KOREA LA,실음과 교수님들...
21,  oo solarday,이영현은 노래도 노래지만 노래 뚜까패는 듯한 제스쳐가 진짜 압권인듯...가창력에 제스쳐까지 더해져서 엄청난 몰입감과 감동을 준다..진짜 너무 좋다
22,  아이스뷀커,영현누님 총알피하기 시전하시면 끝난거임
23,  LEE KIM,뚜까패는 제스쳐래ㅋㅋㅋㅋㅋ개공감
24,  행복맘,영현언니 제스처만큼 쫀득한 표현력이십니다 ㅋㅋㅋ👍👍
25,  BY A,원투펀치 제스쳐 나올때ㅋㅋㄱㅋㄱㄱ
26,  club fight,총알피하기가 젤웃김ㅋㅋㅋㅋㅋㅋㅋ
27,  suin K,진짜 잠시도 눈을 깜박이기도 아까워~^^
28,  두기적_사회거리, @아이스뷀커  백지영: 나는 뭐가되니...
29,  조우상, @두기적_사회거리  총알 피하기 vs 총알 맞기 ㅋㅋㅋㅋㅋ
30,  sc operation,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
31,  Mini Lim,마쟈요 !!! 표정 눈빛 손짓 분위기 전부다 노래랑 한데로 어우러져서 노래에 더 빠져들게해요 😭
32,  케시움마케힘,이정도로 라이브 퀄 뽑을 수 있는  아카펠라 그룹 세계적으로도 손에 꼽음연륜에  수많은 경험으로 인한 감정까지 묵은지마냥 제대로 숙성되어버림
