,아이디,댓글 내용
0,  김다나 테레비,"저와 오빠와 매니져님은 코로나에 감염되지않고 안전합니다..걱정해주셔서 그런것같아요리허설 다 하고나서 방역때문에 방송이 진행되지않아서 출연자분들과 패널분들도 놀랐어요걱정해주시고,기다려주신만큼 더 열심히 준비해서 좋은무대 보여드리겠습니다"
1,  정희중,나라 전체가 큰일이네요. 코로나가 진짜 싫어요.갑갑해서 죽겠네요.방송 셧다운 되겠네요.
2,  강은선,왜갑자기 아침마당 안하나했더니 코로나때문이였군요 김다나씨 응원했는데 안타깝네요
3,  박희창,김다님  4승 보려고  시간내서  보려했는데  안나오더라고   아쉽네요코로나가  웬수네요김다나님   도 좋은  모습  기대할께요김다나님 화이팅
4,  사랑이,정말항당쟀어요 아침마당 안하길래
5,  Goo Goo,그래서 좀 많이 놀랐어요 박서진 가수님 나온다고 해서  볼수있어 기다리고 있었는데  얼른코로나 썩물러가라  김다나가수님 도5승하세요
6,  짹통세상,다나양 정말 파란만장한 길을걷고있네요.오늘도 기다렸는데 힘네세요!늘 행복한 마음으로 지내다보면 분명 멋진날은 절대 배신하지 않아요.화이팅
7,  나그네,김다나씨 볼려고했는데  안나와서 안타까웠어요 방역잘돼야 될탠데
8,  박성순,완전 실망했어요 김다나씨응원하고 박서진군 도 나온다고해서 기다리고 있었는데 아쉬웠어요
9,  이인숙,저두 아침 마당에 박서진 가수님  나오신다 하시길래 눈 크개뜨고 기다렸지요  근대 자막에  나오는걸 봤지요 김다나가수님 다음기회때  꼭 찍을깨요 폰이랑 집전화랑 다 찍을깨요 5승 꼭  이루세요  행운을 빌어요 💯👍💙💖🌹💯
10,  전호열,이인숙님 감사 감사 인기 가수의길은응원하는 팬님들이 관심과 사랑이 중요합니다. 무더운 여름건강하시고 행복하세요~
11,  조용철,늘~ 불철주야 수고하십니다
12,  전호열,김다나님 응원할려구 아침에 사무실에직원들과 같이 TV보다 결방되었다는 소식에당황했어요. 다나님은 코로나 조심하셔야합니다. 이제 4승 5승은 오롯히다나님을 응원하는 팬들에게 달렸내요.노래를 아무리 잘해도 응원하는팬님 들께서지켜주셔야합니다.이창에 들어오셔서 다나가수님을 응원하는 팬님들께서는 긴장에 끈을놓치마시고 가족분들 지인분들께도 부탁하셔서 다나님 응원많이해주시면 너무감사하겠습니다.나인트롯 TV님 방송해주셔서감사합니다. 앞으로 이방송 자주들어올께요.다나님을 아껴주시는 많은분들 건강하시고행복하세요~
13,  이인숙,다음기회때  꼭꼭 찍으시면 되는거같아요 저는 아침 마다  자주못보내요
14,  이인숙,근대 박서진  가수님 나오신다 소리에
15,  전호열,"이인숙님 저도 박서진 가수좋아합니다.어려운 여건속에서 꿈을향해서 열정을불태우는 우리 다나 가수님 많이 응원해주세요,"
16,  이인숙, @전호열  밀어드려야지요 박서진 가수님 곡도 받으셨으니요 당연요 박서진 가수님 작곡 미치겠네  다나가수님이 받으셨으니 당연요대박 이루시길요
17,  전호열,이인숙님 가족모두 건강하시고 행복하세요~
