,아이디,댓글 내용
0,  엠뚜루마뚜루 : MBC 공식 종합 채널,"🤴SG워너비 앙코르 콘서트💞 00:34 아리랑05:22 넌 좋은 사람09:23 해바라기-  12:22 외로운 유죄좌13:08 우리의 노래17:23 내사람-  17:40 돌아온 유야호1-  19:52 다같이 유야호2"
1,  벽돌 맞고수면 패턴이 ᄌ댄 김동욱,유죄좌 ㅋㅋㅅㅋㅋㅋㅅㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅋㅋㅅㅋㅅㅋㅅㅋ
2,  WS LEE,석훈님 찐으로 서운하셨다..ㅋㅋㅋ큐ㅠ
3,  myong myong,감사합니다!!
4,  ro se, @WS LEE  ㅋㅋ 근데 석훈님이 그전에 먼저 용준님 아이엠그라운드 거부하셨어요.. 직캠보면..ㅋㅋㅋ용준뻘쭘...ㅋㅋㅋㅋㅋ
5,  아름다운삐수니,진햄버젼 바라만본다도 내놔요~~~☺
6,  WS LEE, @ro se 그 부분은 신경써서 못봤는데ㅎㅎㅎ 서로 주거니받거니했네요ㅋㅋ
7,  펭러뷰,고마워요
8,  cute jjocco,아..진짜 노래 다 좋음 어쩌라는거임♥내 컬러링이자 벨소리가 6번째라니~~~~~괜찮아..마지막에 안있어서ㅋㅋㅋㅋㅋㅋㅋ
9,  쿠니___,유죄좌 ㅋㅋㅋ 웃참도 실패하고 ㅋㅋㅋ
10,  Heraclass Han,감사해요!!!! 엠비씨!!!
11,  KRboy,SG워너비햄들 자주나와주세요 .. 저만 그런건지 요즘 들을곡이없어요.. 형님들이 노래내주면 무한반복하면서 들을텐데..ㅠㅠㅠ + 콘서트까지 바라는건 욕심인가요 헤헷용준이형 유튜브 만들었답니다 !! 다들구독갑시다!! https://www.youtube.com/channel/UCiW5nHVAuZb2oN6zp0iBBag/videos
12,  화이팅,채널명은 용가릿!! 티저밖에 안나왔는데도 짱귀여워요
13,  쩡이,Sg워너비 요즘 나오고 나서 차에서 항상 sg워너비만 들음ㅎㅎ 넘좋다
14,  안녕히계세요,정보 감사용 구독하러가야징
15,  박준서,구독 가즈아
16,  펜트하우스 주석훈바라기,구독했어용
17,  sunny moon,저두 용가릿 좋댓구알 하고~ 넌 좋은사람 스밍하며 살지요~
18,  라라라정현,오늘도 미성장인 용리다 보러 출석♡
19,  Hanuy Kim,나만 용준이형 목소리 듣고 갬동한거 아니었네 ㅋㅋㅋㅋㅋㅋㅋㅋ
20,  이_,김용준 목소리 진짜 설렌다 .. 이석훈 목소리 듣고 있어도 너무 좋고 김진호 목소리 들어도 너무 좋은데 김용준 저 감미로운 목소리에 깜짝깜짝 놀란다...
21,  Name,"sg워너비 버전으로 바라만 본다, 나를 아는 사람 불러줬으면 좋겠다 sg워너비 버전으로 바라만 본다, 나를 아는 사람 불러줬으면 좋겠다 sg워너비 버전으로 바라만 본다, 나를 아는 사람 불러줬으면 좋겠다 sg워너비 버전으로 바라만 본다, 나를 아는 사람 불러줬으면 좋겠다 sg워너비 버전으로 바라만 본다, 나를 아는 사람 불러줬으면 좋겠다 sg워너비 버전으로 바라만 본다, 나를 아는 사람 불러줬으면 좋겠다 sg워너비 버전으로 바라만 본다, 나를 아는 사람 불러줬으면 좋겠다 sg워너비 버전으로 바라만 본다, 나를 아는 사람 불러줬으면 좋겠다 sg워너비 버전으로 바라만 본다, 나를 아는 사람 불러줬으면 좋겠다 sg워너비 버전으로 바라만 본다, 나를 아는 사람 불러줬으면 좋겠다 sg워너비 버전으로 바라만 본다, 나를 아는 사람 불러줬으면 좋겠다 sg워너비 버전으로 바라만 본다, 나를 아는 사람 불러줬으면 좋겠다이정도 했으면 한 번만 불러줘요.. 제발"
22,  김동현,오 김용준님 잘하는건 알았는데 또 다시 보게 됨!!그리고 내가 젤 좋아하는 김진호님 역시 힘이 나요!!행복해요!!
23,  히리릿뿅뿅,김용준 목소리 너무 이뿌당🥰김진호 온 힘 다해 부르는거 가슴 뭉클스😭이석훈 팔자주름에 낑겨서 못빠져나겟🤣
24,  허호연,용준씨..노래 목소리  너무좋아요..  진호씨랑 석훈씨도  최고..
25,  ueen Q,다들 유트부로만 보나보다....음원도 1등 했으면 좋겠는뎅...라이브가 더 좋아서원..
26,  행복가득,그러게요.  근데 유트브 조회수도 예전에 비해 많이 적어서 속상하네요.
27,  H-J Seo,맞아요 이것도 너무 여러개가 올라와서.....  음원1위하는거 진심보고픈데..   일단 타임리스라도 잡아야하겠는데 ㅎㅎ
28,  환이,우리는 sg워너비의 시대에 살고있다
29,  가올흴,와.. 갑자기 감정이 복 받쳐오르는 건 왜지…
30,  TC- 14, @가올흴  오글
31,  이광민,제가 학생때 너무 좋아하는가수고 처음콘서트간 가수인데 ㅎㅎㅎ 너무 요즘 티비에나와서 너무좋아요저희딸이초등학생인데 아이들도 너무 좋아해요 ㅎㅎ
32,  햅삐,김용준...💗💗💗💗💖💖💖💖
33,  cherryblock,"진짜 기존 김진호 위주 노래에서파트 배분 새로한 게 신의 한수다...파트 배분 새로한 버전으로 앨범 내줬으면,,좋겟다"
34,  현아,맞아요... 처음 앨범때랑은 많이 달라요.지금이 넘 좋고 지금 이 노래로 다시 나왔음 좋겠어요
35,  Name,이석훈도 있는 버전으로 파트 분배 적절히해서 새로운 앨범 내줬으면ㅜ
36,  K As,용준님 노래할때   손 제스처없이 곱게 모으고 어떻게 저리 곱게 고음 부르는지 신기하당~~
37,  Junilover,저도 같은 생각입니다.  김용준. 이석훈. 김진호 세 명의 목소리가 다 국보급. 너무 알흠다워요.
38,  바니반,저도요ㅡ 예전엔 살짝 부담스러웠는데 지금이 더 편안해요.
39,  ueen Q,음원보다 더 좋은 라이브... 라이브로 된 음원 발매해주세요. 콘서트도 못가는데...
40,  12 345,우리의 노래~용준님 파트에서 눈물이 주르륵 ㅠㅠ아름다운 목소리~♡
41,  비서이이임프정육,와 김용준 화장한거 ㅈㄴ잘생김. ㅠㅠㅜㅜㅜㅜㅜㅜㅠㅠ.
42,  k kim,우리의 노래에서 김용준 고음 파트..몰랐다. 김진호 채동하 이석훈에 가려진철저한 고음을 쓰는 사람이라는걸..진짜 세분 다 보석같음.다시 역주행이 아니라 언제고 정주행 할 형들이였어..
43,  su joung park,울 리더님 고음도 정말 잘하는데 매번 두 멤버만하니 빛을 못봐 안타까웠는데..이 기회에 더 많은 사람들이 울 리더님도 고음 잘한다는거 알아줫음 싶다.
44,  휴지조각,sg워너비노래 2021버전으로 다시듣고 싶은게 너무 많다 딩고라이브 같은데 나와서 다 해주면 너무 행복할듯 ㅠㅠ
45,  싱클레어,딩고 라이브 꼭 했음 좋겠어요 ㅠㅠ
46,  이지수,와 미친 이거다 제발 킬링보이스 한번만ㅠㅠㅠㅠㅠ 레전드 찍을 듯
47,  Sunny 4beauty,딩고가 답!
48,  나는 나,이제..이진호님 보면..왜 고운 진호어머님 생각이 나는지..어머님 정말 좋으신분 같았어요..그러니 당연히..진호님도 좋은아드님이겠지요..멋진 엄마와 아들.. 응원합니다. 열심히 하시는만큼 기획사에서도 정산좀 잘해주셨음 좋겠어요..  인기만큼 정산이 안된다는 속상한 기사를 본듯.. 제대로 합시다. 기획사관계자분들
49,  Seok bin,태클은 아니지만 혹시 잘못알고계실까해서 김진호님입니다!
50,  나는 나, @Seok bin  오우~~감사합니다.🙆
51,  달래,진호 형 아리랑 부를때 뒤에 연주하시는분들이랑 국악하시는분 계속 아이컨택 하면서 응원하는거 너무 멋있다 ㅠ♡
52,  이경은,나이스~~!!
53,  Lily Lily,아놔 이거 또 오백번 보게 생겼네
54,  쿠니___,오백번 받고 오백번 더 ㅋㅋㅋ
55,  레이첼,출구없음
56,  윤희건,겨우?
57,  윤아싸라비아,우린 다 늪에 빠진거죠 ㅋ ㅋ ㅋ
58,  Kevin Junior,이렇게 모두 다 같이 2000년대로 강제 추억여행 열차에 타게 되는데.....
59,  행복가득,용준님~노래 잘듣고 있어요. 최고~
60,  우유앙팡,아니 용준이형 쉬었다 나왔는데 왤케 노래가 업그레이드 되었지???꽉찬 미성ㄷㄷ
61,  니가몬데,조영수랑 sg워너비는 진짜 찰떡궁합...
62,  RED BOMB Film,와 전체 화음 미쳤네?
63,  선풍기,김용준 골프 금지 스모키 금지
64,  Kevin Junior,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그래도 연애, 결혼은 봐 드리죠 이제 곧 용준 햄 불혹 이신데.... 저 아름다운 미소와 미성을 2세들에게도 물려줘야죠"
65,  여바람, @Kevin Junior  찐 팬이다.
66,  빵치킨,ㅋㅋㅋㅋㅋㅋㅋㅋ기여운떼ㅜㅠㅠ
67,  Kevin Junior, @여바람  ㅎㅎㅎ...
68,  WON K,스모키금지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ대환장
69,  정미현,ㅋㅋㅋㅋㅋ 스모키?
70,  ᄋᄋ,ㄹㅇㅋㅋㅋㅋ 잘생긴얼굴 스모키가 다 가려놈 ㅡㅡ
71,  정미현, @ᄋᄋ  그랬는데도 불구하고 잘생겼어요.ㅋㅋ
72,  돌체콜드브루,눈 화장은 좀 참아줘요..😭😭오빠 사랑해요
73,  오그멘틴 진아,ㅋㅋㅋ ㅋㅋㅋ ㅋㅋ ㅋㅋ
74,  준내꺼,진호 아예 옆에보고 노래하는거 욀케 귀엽지 ㅋㅋ
